tweet,label_emotion,label_sentimen,label_hate
soal jalan jatibarupolisi tidak bisa gertak gubernur emangny polisi tidak ikut bahas jangan politik atur wilayahhak gubernur soal tn abang soal turun temurunpelikperlu sabar,anger,negatif,1
sama cewek loh kayak harus bisa lebih rasa lah yang harus sibuk jaga diri rasa sakit haid dan panik pulang malam sendiri bagaimana orang asing wajar banyak korban yang takut curah hati bukan bela bahkan hujat,anger,negatif,1
mau gudeg mbarek bu hj amat foto dari google sengaja biar temanteman juga bayang bagi itu indah,happy,positif,0
jalan jatibarubagian dari wilayah tn abangpengaturan wilayah tinggi jawab dan wwnang gubtng abng soal rumitsejak gubernur trdahuluskrg sedang dibenahiagr manfaat semua pihakmohon yang punya otakberpikirlah dengan wajarkecuali otak butekya kamu,anger,negatif,0
sharing alam saja kemarin jam batalin tiket di stasiun pasar senin lancar antre tidak terlalu ramai menit dan beres semua mungkin bisa coba twit di jamjam begitu cc,happy,positif,0
dari sekian banyak thread yang aku baca thread ini paling aneh sih dalam tulis sumpah aneh banget mau maki lebih saja segala bikin thread aduh aku juga tidak jago tulis tapi tulis aku tidak beranta thread mbak,anger,negatif,1
sharing sama teman itu emang guna banget di saat kamu rasa masalah kamu berat banget nyata teman kita sendiri punya masalah lebih berat dari kita bahkan masalah kita tidak ada apa banding masalah dia,happy,positif,0
orang lain kalau pakai ponco itu buat jas hujan nah dia pakai buat kasur ya tadi gara saking tidak punya apa mamak bilang kami itu di awal pernik tidak ada alami bulan madu kayak sekarang orang tidur nya saja pakai ponco gimane mau bulan madu,sadness,netral,0
contoh mereka yang gemar sudut teriak paling toleran tapi gemar tuduh gemar nilai orang dasar versi mereka cukup tahu saja,anger,negatif,0
pulang sudah h lebaran dilema sekali seperti tidak bisa laku apa di rumah belum lebaran buka puasa bareng cuma hari sama keluarga begitu juga sahur,sadness,netral,0
betul min rakyat indonesia sekarang harap nya tinggal sama tentara nasional indonesia saja kalau yang lain lihat saja sudah jelas serang ke kantor media kata tidak ada unsur pidana sudah jelas hina presiden indonesia yang sah cuma lucu lucu an saja tentara nasional indonesia,anger,negatif,1
kalaupun fansite ngejual hasil jepret mereka tuh uang nya lari ke idol juga belikan mereka hadiah dan bagai kan kpopers baru ya fansite sudah ada dari jaman kamera belum bening sekarang,anger,negatif,0
sangat syukur bisa doa kakek bung karno sama anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi semua saudara semua makmur h,happy,positif,0
sulit terima nyata memang bahwa ada bagi yang anggap ketika kita interaksi dengan satu orang dari satu golong tentu kita langsung kata golong tentu saat tanpa kita ajar cara utuh dan klaim diri kita paling benar,sadness,netral,0
samanye sudah maling semua tidak sih jancuk tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,anger,negatif,1
ku juga ingin amuk baca komen warganet yang mahabenar ya lord tidak habis pikir komen macam begini yang bikin kasus leceh seksual akan tenggelam begitu saja tidak ada hukum untuk laku lebih sedih rata rata yang komen jahat adalah perempuan mbaq sehat lah,anger,negatif,1
tiap sempat yang pernah hadir untuk dapat buat selalu rasa aman dan nyaman kini jadi suatu hormat yang pernah dapat,love,positif,0
sedap kali kamu ya tidur kasur ku aku tidur kamu ikut tidur mau jadi apa kamu baca pakai logat mamak dahlia di keluarga badak,anger,negatif,1
h mau ke bank ramai banget sampai antre tempat duduk ada di luar toko emas luber sampai tidak lihat mbak yang jual ke swalayan antre kasir naudzubilah panjang benar pada bahagia semua kayak moga oh moga rumah sakit sepi pasien pada sembuh dan pulang untuk bahagia,happy,positif,0
benar hancur negara ini kelola amatir tapi kenpak tidak indah statementnya sendiri negara miskin koordinasi jangan asal gagah seta salah anulir mana marwahmu wahai mr presiden,anger,negatif,1
budaya cari dan baca belum tanya ya sudah jelas kali kok lama tidak diaturgaada tentu khusus pakai saja,anger,negatif,1
paruh hati ini iri jika lihat orang anak yang masih bisa duduk atau jalan sama ibunda dan paruh hati ini turut empat lihat orang anak yang begitu gundah saat ibunda sakit yang sabar ya kawan moga allah beri yang baik untuk kita semua,sadness,netral,0
ketika aku senyum bukan arti hidup sempurna aku hanya syukur apa yang aku punya dan apa yang telah tuhan ikan untuk ku,happy,positif,0
dari mau tidur tidur sampai bangun tidur kok ya kayak rasa aneh tidak enak hati sudah bawa istighfar masih saja bangun tidur kayak sedih kayak pikir tidak puguh ini kenapa banget coba,sadness,netral,0
kan peluk engkau erat hingga tidak ada orang pun yang bisa rebut kamu dari peluk ku happy anniversary sayang november bulan,love,positif,0
kalau mau ganti presiden itu harus jelas siapa calon terus adu program kerja ini koalisi belum ditentuin bisa cuma buat kaos dan tagar,anger,negatif,1
sukses dan keren banget dengan nomor kualitasbhn krjaitu cita punya agar waris sampai ke cusukses tims bbpjn barakat limpah,happy,positif,0
sudah mau sarjana kali mbokya mulut nya jangan tinggal buat ajar sekira itu tidak perlu ungkap tambah dosa sakit hati orang lebih baik diam baik lah kasihan anda nya yang di julidin sama orang,anger,negatif,0
bagaimana orang tidak nilai dari jilbabsyaringgak nya kadang gemas sama orang yang kelas diam baik eh di grup wa bisa dia nyeletuk arah ke sosial harassment,anger,negatif,1
hari ini jadwal presentasi program kerja di lppm karena ada praktikum jadi pak ketua di teman sekretaris tapi selaku tanggung jawab ada di sekretaris jadi deg deg an ini bismillah pak ketua ngomong-ngomong ingin unggah foto pak ketua tapi jangan dulu ya,fear,negatif,0
foto saya di instagram masih ada cuma lupa password instanya jadi tidak bisa di buka ini pasti salah perintah dan instagram kenapa sampai pakai password segala itu sampai lupa kan saya begoloe,anger,negatif,1
drama kemarin sore hari puasa terus pas lagi mandi kaget bcz datang tamu tidak undang pas banget woi pas lagi azan maghrib terus jadi galau dong hari itu anggap sah puasa apa tidak,fear,negatif,0
sungguh cinta berat sekali pisah dengan apalagi hadiahperasaan selalu bikin bawa asa tapi sukses lupa lapar,sadness,netral,0
pas udah kirim kembali sih kurir telpon keluh dan malas gerak buat antar ke alamat yang benar bahkan minta ketemu di titik yang dia tahu itu dia tidak mau susah nomor putar balik harus arah sama arah kendara dia jalan,anger,negatif,0
pada akhir kita akan lewat semua ini semua yang dulu kita bayang betapa sulit kita lalu juga di akhir kita hanya bisa ajar ajar dan ajar petik semua hikmah yang bisa kita petik siap untuk ke depan,happy,positif,0
kenapa pasang seringkali ibarat bagai rumah karena rasa nyaman sama nyaman ada di rumah kamu bisa jadi apa saja kamu selalu pulang tuju,love,positif,0
ya tahu kalau rasa sakit hati memamg sulit tapi ada kala nya saat di jenjang rumah tangga jangan lah di publik situasi saat inimedia itu jahat tidak selesai masalah dengan lontar kata demi kata,fear,negatif,0
ponakan kelas sekolah dasar lagi suka tonton video tutorial masak craft youtube saya kelas sekolah dasar sudah baca novel marga t amp mira saya pinjam punya sepupu,happy,positif,0
beberapa tahun kemudian sejahtera keluarga emak emak ini terus tingkat sampai suami itu dapat pangkat yang tinggi kurang paham juga tentang pangkat di tentara nasional indonesia pokok sudah hidup bekecukupan,happy,positif,0
bukan tidak dukung atau doa cuma sikap apa yang sudah itu pilih dan upaya mempertahankannyadisini aku dari jauh harus bahagia tapi lihat sedih kebahagianku pudarseperti saat kala itu terima undang nikah,sadness,netral,0
jnejnt lama saya pakai entah kirim paketbeli olshop jastip dari luar kota sampai beda pulau maksimal hari sampai mau itu dia pakai mobil susah cari alamat bingung tidak bisa masuk kompleksgang meski malam sekalipun bela jalan ke rumah sampai paket kirim dengan baik,happy,positif,0
gemas banget sama orang yang masih anggap wajar leceh sexual cara verbal mau verbal atau fisik atau apa itu tetap tidak benar,anger,negatif,0
apa hukum main musik stad jelas haroooom hukum dosa kita main begitu kirakira cakap yang jadi antara pena dan orang ustad di buah acara televisi yang intro pakai musik,fear,negatif,1
